ts	iface	rx_bytes	tx_bytes
1787884304.943569858	s10-eth1	329877	344340
1787884304.943569858	s10-eth2	332446	344465
1787884304.943569858	s10-eth3	332446	344242
1787884304.943569858	s10-eth4	332446	344340
1787884304.943569858	s1-eth1	64999471	42730095591
1787884304.943569858	s1-eth10	73859972	1314752
1787884304.943569858	s1-eth11	3857863984	751719
1787884304.943569858	s1-eth12	276508870	766668
1787884304.943569858	s1-eth13	32263380	291622
1787884304.943569858	s1-eth14	296002034	1149323
1787884304.943569858	s1-eth15	2796596235	2473800
1787884304.943569858	s1-eth16	435241366	3453064
1787884304.943569858	s1-eth17	179568796	2858940
1787884304.943569858	s1-eth18	218881062	13374
1787884304.943569858	s1-eth19	12269023962	1145687
1787884304.943569858	s1-eth2	332516	741031785
1787884304.943569858	s1-eth20	372037249	1859359
1787884304.943569858	s1-eth21	470340791	3605510
1787884304.943569858	s1-eth22	118934362	1481803
1787884304.943569858	s1-eth23	2926350964	1635156
1787884304.943569858	s1-eth24	327244881	1440930
1787884304.943569858	s1-eth25	265208686	3795217
1787884304.943569858	s1-eth26	393418497	2309675
1787884304.943569858	s1-eth27	3029264547	2441702
1787884304.943569858	s1-eth28	179711358	2736217
1787884304.943569858	s1-eth29	81873094	1320310
1787884304.943569858	s1-eth3	12737320298	5566792
1787884304.943569858	s1-eth30	111806853	1801786
1787884304.943569858	s1-eth31	2858348491	774700
1787884304.943569858	s1-eth32	390278614	2317220
1787884304.943569858	s1-eth33	189598764	2907401
1787884304.943569858	s1-eth34	127490982	1949773
1787884304.943569858	s1-eth4	334311900	1686930
1787884304.943569858	s1-eth5	343277954	1927789
1787884304.943569858	s1-eth6	357978665	2255540
1787884304.943569858	s1-eth7	3027466970	2982712
1787884304.943569858	s1-eth8	364587545	2120546
1787884304.943569858	s1-eth9	132446328	1893530
1787884304.943569858	s2-eth1	19989564447	13338058905
1787884304.943569858	s2-eth10	294791479	1085439
1787884304.943569858	s2-eth11	3901588426	2633185
1787884304.943569858	s2-eth12	64387562	1140708
1787884304.943569858	s2-eth13	95172632	1272663
1787884304.943569858	s2-eth14	81759166	1106579
