kpps_offered	reps	loss_scored	loss_reps	sent_pps	recv_pps	clean
1	1	0.0000	0.0000	999.9	999.8	yes
2	1	0.0000	0.0000	1999.7	1999.6	yes
3	1	0.0000	0.0000	2999.6	2999.1	yes
5	1	0.0000	0.0000	4999.2	4998.0	yes
8	1	0.0000	0.0000	7998.7	7998.0	yes
12	3	0.0146	0.0302,0.0000,0.0146	11998.2	11996.1	yes
20	3	0.0313	0.0406,0.0200,0.0313	19996.7	19994.1	yes
30	3	0.3825	0.3825,0.5271,0.2154	29995.3	29990.1	yes
45	1	5.3634	5.3634	44992.7	44987.2	no
70	1	30.4428	30.4428	69988.7	69980.5	no
110	1	53.4775	53.4775	109985.5	109963.1	no
